TC_ID,Section,Sub_Section,Test_Case_Title,Description,Pre_Conditions,Test_Steps,Expected_Result,Priority,Test_Type,Multi_Tenant_Test,Environment
CV_HDR_001,Header,Customer Info,Display customer name with prefix,Verify customer name displays with appropriate prefix (Mr/Ms/Mrs),Customer exists with prefix set,"1. Navigate to CustomerView page
2. Observe customer name in header",Customer name displays with correct prefix (e.g. 'Mr. John Doe'),P1,Functional,Yes,Both
CV_HDR_002,Header,Customer Info,Display star badge for high return customer,Verify star badge appears when return_percentage > 10%,Customer with return > 10% exists,"1. Navigate to customer with >10% returns
2. Observe header area",Gold star badge (⭐) appears next to customer name,P2,Functional,Yes,Both
CV_HDR_003,Header,Customer Info,No star badge for low return customer,Verify star badge does not appear when return_percentage <= 10%,Customer with return <= 10% exists,"1. Navigate to customer with <=10% returns
2. Observe header area",No star badge appears next to customer name,P2,Functional,Yes,Both
CV_HDR_004,Header,Customer Info,Display customer ID,Verify customer ID is displayed in header,Customer exists,"1. Navigate to CustomerView
2. Locate customer ID display",Customer ID displayed correctly (e.g. 'ID: 12345'),P1,Functional,Yes,Both
CV_HDR_005,Header,Customer Info,Display IWell code when exists,Verify IWell code displays when customer has one,Customer with iwell_code exists,"1. Navigate to customer with IWell code
2. Observe header",IWell code displayed (e.g. 'IWell: ABC123'),P2,Functional,Yes,Both
CV_HDR_006,Header,Customer Info,Hide IWell code when not exists,Verify IWell code section hidden when not present,Customer without iwell_code,"1. Navigate to customer without IWell code
2. Observe header",No IWell code section displayed,P2,Functional,Yes,Both
CV_HDR_007,Header,Customer Info,Display schemes count,Verify total schemes count from portfolio is displayed,Customer with portfolio exists,"1. Navigate to CustomerView
2. Observe schemes count",Schemes count matches actual portfolio holdings count,P2,Functional,Yes,Both
CV_HDR_008,Header,Customer Info,Display member since year,Verify member since year is displayed,Customer exists,"1. Navigate to CustomerView
2. Observe member since",Member since year displayed correctly,P3,Functional,Yes,Both
CV_HDR_009,Header,Family Badge,Display family badge for family head,Verify family head badge displays correctly,Customer is family head (family_code exists is_family_head=true),"1. Navigate to family head customer
2. Observe family badge",Badge shows 'Family Head: {family_code}' with correct styling,P1,Functional,Yes,Both
CV_HDR_010,Header,Family Badge,Display family badge for family member,Verify family member badge displays correctly,Customer is family member (family_code exists is_family_head=false),"1. Navigate to family member customer
2. Observe family badge",Badge shows 'Family: {family_code}' with correct styling,P1,Functional,Yes,Both
CV_HDR_011,Header,Family Badge,Family badge clickable - opens popover,Verify clicking family badge opens FamilyMembersPopover,Customer has family_code,"1. Navigate to customer with family
2. Click family badge",FamilyMembersPopover opens showing all family members,P1,Functional,Yes,Both
CV_HDR_012,Header,Family Badge,No family badge for non-family customer,Verify no family badge for customers without family_code,Customer without family_code,"1. Navigate to customer without family
2. Observe header",No family badge displayed,P2,Functional,Yes,Both
CV_HDR_013,Header,Back Button,Back to Customers navigation,Verify back button navigates to customers list,On CustomerView page,"1. Click 'Back to Customers' button
2. Observe navigation",Navigates to /customers page,P1,Functional,No,Both
CV_HDR_014,Header,Meeting Button,Open CreateMeetingModal,Verify Meeting button opens meeting creation modal,On CustomerView page,"1. Click 'Meeting' button
2. Observe modal",CreateMeetingModal opens with customer pre-selected,P1,Functional,Yes,Both
CV_HDR_015,Header,New Alert Button,Open JTBDSetupModal,Verify New Alert button opens JTBD setup modal,On CustomerView page,"1. Click 'New Alert' button
2. Observe modal",JTBDSetupModal opens with filtered types (hides portfolio_alert and goal_tracking),P1,Functional,Yes,Both
CV_HDR_016,Header,New Alert Button,Hidden types in New Alert modal,Verify portfolio_alert and goal_tracking are hidden in New Alert modal,On CustomerView page,"1. Click 'New Alert' button
2. Check available alert types",Only time_based and profile_trigger types visible; portfolio_alert and goal_tracking hidden,P1,Functional,Yes,Both
CV_HDR_017,Header,New Goal Button,Navigate to goal creation,Verify New Goal button navigates to goal creation page,On CustomerView page,"1. Click 'New Goal' button
2. Observe navigation",Navigates to /customers/{id}/goals/new,P1,Functional,No,Both
CV_HDR_018,Header,Family Switch,Display Individual/Family toggle for family customers,Verify toggle appears for customers with family_code,Customer with family_code,"1. Navigate to customer with family
2. Observe toggle button",Individual/Family toggle button visible,P1,Functional,Yes,Both
CV_HDR_019,Header,Family Switch,Hide toggle for non-family customers,Verify toggle hidden for customers without family_code,Customer without family_code,"1. Navigate to customer without family
2. Observe header area",No Individual/Family toggle displayed,P2,Functional,Yes,Both
CV_HDR_020,Header,Family Switch,Switch to Family view,Verify switching to Family view updates URL and content,Customer with family_code on Individual view,"1. Click toggle to switch to 'Family'
2. Observe URL and content",URL updates to ?view=family and family data loads,P1,Functional,Yes,Both
CV_HDR_021,Header,Family Switch,Switch to Individual view,Verify switching to Individual view updates URL and content,Customer on Family view,"1. Click toggle to switch to 'Individual'
2. Observe URL and content",URL updates to ?view=individual and individual data loads,P1,Functional,Yes,Both
CV_HDR_022,Header,Styling,Header gradient background,Verify header has gradient background styling,On CustomerView page,"1. Navigate to CustomerView
2. Inspect header styling",Header has primary+secondary color gradient background,P3,UI,No,Both
CV_HDR_023,Header,Responsive,Header responsive on mobile,Verify header adapts to mobile viewport,On CustomerView page,"1. Resize browser to mobile width (<768px)
2. Observe header layout",Header elements stack appropriately without overflow,P2,UI,No,Both
CV_MET_001,Metrics Bar,Layout,Display 4 metric cards,Verify metrics bar displays 4 cards in row,Customer with portfolio exists,"1. Navigate to CustomerView
2. Observe metrics bar below header",4 metric cards displayed: Networth/Portfolio Profit/Loss Today's Change Overall Return,P1,Functional,Yes,Both
CV_MET_002,Metrics Bar,Total Portfolio,Display total portfolio value,Verify total portfolio value displays correctly,Customer with portfolio,"1. Navigate to CustomerView
2. Check first metric card",Total portfolio value displayed in ₹ format (Cr/L as appropriate),P1,Functional,Yes,Both
CV_MET_003,Metrics Bar,Total Portfolio,Portfolio value formatting - Crores,Verify values >= 1Cr display as Cr,Customer with portfolio > 1Cr,"1. Navigate to customer with portfolio > 1Cr
2. Check portfolio value",Value displayed as 'X.XX Cr' format,P2,Functional,Yes,Both
CV_MET_004,Metrics Bar,Total Portfolio,Portfolio value formatting - Lakhs,Verify values < 1Cr display as L,Customer with portfolio < 1Cr,"1. Navigate to customer with portfolio 50L
2. Check portfolio value",Value displayed as 'XX.XX L' format,P2,Functional,Yes,Both
CV_MET_005,Metrics Bar,Profit/Loss,Display profit in green,Verify positive profit shows in green,Customer with positive returns,"1. Navigate to customer with profits
2. Check Profit/Loss card",Profit value displayed in green color with + sign,P1,Functional,Yes,Both
