TC_ID,Section,Sub_Section,Test_Case_Title,Description,Pre_Conditions,Test_Steps,Expected_Result,Priority,Test_Type,Multi_Tenant
CL_PAGE_001,Page Layout,Header,Display page title and icon,Verify page header displays correctly,User logged in,"1. Navigate to Customers page
2. Check header section",Users icon in blue badge + 'Customers' title (28px) + subtitle with environment,P1,Functional,Yes
CL_PAGE_002,Page Layout,Header,Environment indicator in subtitle,Verify environment shows in subtitle,User logged in,"1. Check subtitle text
2. Verify environment",Shows 'Manage your customer database • Environment: live/test',P2,Functional,Yes
CL_PAGE_003,Page Layout,Header,Add Customer button visible,Verify Add Customer button in header,User logged in,"1. Check right side of header
2. Find Add Customer button",Button visible with + icon and 'Add Customer' text,P1,Functional,Yes
CL_PAGE_004,Page Layout,Header,Refresh button visible,Verify Refresh button in header,User logged in,"1. Check right side of header
2. Find Refresh button",Refresh icon button visible,P2,Functional,No
CL_PAGE_005,Page Layout,Header,Add Customer navigation,Verify Add Customer navigates to form,On Customers page,"1. Click 'Add Customer' button
2. Observe navigation",Navigates to /customers/new,P1,Functional,No
CL_PAGE_006,Page Layout,Header,Refresh button reloads data,Verify refresh fetches new data,On Customers page,"1. Click Refresh button
2. Observe list",Customer list reloads with fresh data,P1,Functional,Yes
CL_PAGE_007,Page Layout,Container,Max width container,Verify container max width,On Customers page,"1. Check page container
2. Observe width",Container max-width 1400px centered with 24px padding,P3,UI,No
CL_PAGE_008,Page Layout,Responsive,Mobile layout,Verify layout on mobile viewport,Mobile viewport (<768px),"1. Resize to mobile
2. Check layout",Elements stack appropriately cards full width,P2,UI,No
CL_STAT_001,Statistics Cards,Layout,Display 4 statistics cards,Verify all 4 stat cards display,Customers exist,"1. Navigate to Customers page
2. Check stats section above list",4 cards: Total Customers Family Accounts Bookmarked With Portfolio,P1,Functional,Yes
CL_STAT_002,Statistics Cards,Total,Total Customers count,Verify total count is accurate,Customers exist,"1. Check Total Customers card
2. Compare with API/database",Count matches total customers for tenant,P1,Functional,Yes
CL_STAT_003,Statistics Cards,Total,Total displays large number format,Verify large number styling,Customers exist,"1. Check Total card number
2. Verify styling",32px font fontWeight 700,P3,UI,No
CL_STAT_004,Statistics Cards,Family,Family Accounts count,Verify family count,Family customers exist,"1. Check Family Accounts card
2. Compare with database",Shows family_count with (X customers) in families,P1,Functional,Yes
CL_STAT_005,Statistics Cards,Family,Family card clickable,Verify click filters to family,On Customers page,"1. Click Family Accounts card
2. Check list filter",List filters to show only family accounts,P1,Functional,Yes
CL_STAT_006,Statistics Cards,Family,Family card hover effect,Verify hover styling,On Customers page,"1. Hover over Family card
2. Observe effect",Card lifts up (translateY -2px),P3,UI,No
CL_STAT_007,Statistics Cards,Bookmarked,Bookmarked count,Verify bookmarked count,Bookmarked customers exist,"1. Check Bookmarked card
2. Compare with database",Count matches bookmarked customers,P1,Functional,Yes
CL_STAT_008,Statistics Cards,Bookmarked,Bookmarked card gold color,Verify gold styling,On Customers page,"1. Check Bookmarked card
2. Verify color",Gold/Yellow (#FFD700) star icon and accent,P2,UI,No
CL_STAT_009,Statistics Cards,Bookmarked,Bookmarked card clickable,Verify click filters to bookmarked,On Customers page,"1. Click Bookmarked card
2. Check list filter",List filters to show only bookmarked customers,P1,Functional,Yes
CL_STAT_010,Statistics Cards,Portfolio,With Portfolio count,Verify portfolio metrics count,Customers with portfolio exist,"1. Check With Portfolio card
2. Compare with database",Count matches customers with portfolio data,P1,Functional,Yes
CL_STAT_011,Statistics Cards,Loading,Loading state display,Verify loading indicator,Fresh page load,"1. Navigate to page
2. Observe stats during load",Shows '...' while fetching stats,P2,UI,No
CL_STAT_012,Statistics Cards,Refresh,Stats refresh on data change,Verify stats update,After customer action,"1. Add/delete customer
2. Check stats",Stats automatically refresh,P2,Functional,Yes
CL_SRCH_001,Search,Input,Search input visible,Verify search input displays,On Customers page,"1. Check filters section
2. Find search input",Search input field visible at top of filters,P1,Functional,No
CL_SRCH_002,Search,Minimum Chars,Less than 4 chars warning,Verify warning for short search,On Customers page,"1. Type 3 characters in search
2. Observe indicator",Shows 'X more chars' warning in orange,P1,Functional,No
CL_SRCH_003,Search,Minimum Chars,No API call under 4 chars,Verify API not called,On Customers page,"1. Type 3 characters
2. Check network",No API call made,P1,Functional,No
CL_SRCH_004,Search,Valid Search,4+ chars triggers search,Verify search executes,On Customers page,"1. Type 4+ characters
2. Observe behavior",API call made after debounce shows 'searching...' indicator,P1,Functional,Yes
CL_SRCH_005,Search,Debounce,500ms debounce delay,Verify debounce timing,On Customers page,"1. Type rapidly
2. Observe API calls",Single API call after 500ms pause,P2,Functional,No
CL_SRCH_006,Search,Results,Search filters results,Verify search results,Customers with matching name,"1. Search for existing customer name
2. Check results",Only matching customers displayed,P1,Functional,Yes
CL_SRCH_007,Search,Clear,Empty search clears filter,Verify clearing search,Active search filter,"1. Clear search input
2. Observe list",Full customer list restored,P1,Functional,Yes
CL_SRCH_008,Search,Page Reset,Search resets to page 1,Verify pagination reset,On page 2+,"1. Navigate to page 2
2. Enter search term",Returns to page 1,P2,Functional,No
CL_SRCH_009,Search,IWell Code,Search by IWell code,Verify IWell search works,Customer with IWell code,"1. Search by IWell code
2. Check results",Customer with matching IWell code found,P1,Functional,Yes
CL_SRCH_010,Search,Case Insensitive,Search case insensitive,Verify case handling,Customers exist,"1. Search 'JOHN'
2. Search 'john'",Same results for both searches,P2,Functional,Yes
CL_FILT_001,Filters,Toggle,Toggle filters button,Verify filter toggle works,On Customers page,"1. Find 'Show Filters' button
2. Click toggle",Advanced filters section expands/collapses,P1,Functional,No
CL_FILT_002,Filters,Toggle,Active filter count badge,Verify badge shows count,Active filters applied,"1. Apply some filters
2. Collapse filters
3. Check toggle button",Badge shows 'X filter(s) active',P2,UI,No
CL_FILT_003,Filters,Sort,Sort By dropdown options,Verify sort options,On Customers page,"1. Click Sort By dropdown
2. Check options",Options: Name Created Date Updated Date Birth Date Anniversary,P1,Functional,No
CL_FILT_004,Filters,Sort,Sort By Name works,Verify name sorting,Customers exist,"1. Select 'Name' sort
2. Check order",Customers sorted alphabetically by name,P1,Functional,Yes
CL_FILT_005,Filters,Sort,Sort By Created Date works,Verify created date sorting,Customers with different dates,"1. Select 'Created Date'
2. Check order",Customers sorted by creation date,P1,Functional,Yes
