TC_ID,Section,Sub_Section,Test_Case_Title,Description,Pre_Conditions,Test_Steps,Expected_Result,Priority,Test_Type,Risk_Level
CC_NAV_001,CruiseControl Page,Navigation,Display all 5 tabs,Verify all tabs are visible in tab navigation,User logged in,"1. Navigate to Cruise Control page
2. Observe tab navigation",5 tabs visible: NAV Downloads Market Downloads Alerts Portfolio Snapshots Settings,P1,Functional,Low
CC_NAV_002,CruiseControl Page,Navigation,Tab icons display correctly,Verify each tab has correct icon,On CruiseControl page,"1. Check each tab icon
2. Verify icons match",📊 NAV 📈 Market 🔔 Alerts 📸 Portfolio ⚙️ Settings,P2,UI,Low
CC_NAV_003,CruiseControl Page,Navigation,Default tab selection,Verify NAV Downloads tab is active by default,Fresh navigation,"1. Navigate to Cruise Control
2. Check active tab",NAV Downloads tab is selected/highlighted,P1,Functional,Low
CC_NAV_004,CruiseControl Page,Navigation,Tab click switches content,Verify clicking tab changes content area,On CruiseControl page,"1. Click different tabs
2. Observe content changes",Content updates to match selected tab,P1,Functional,Low
CC_NAV_005,CruiseControl Page,Header,Display page title,Verify header shows correct title and subtitle,On CruiseControl page,"1. Check page header
2. Observe title",Title: '🎛️ Cruise Control' with subtitle about monitoring,P2,UI,Low
CC_NAV_006,CruiseControl Page,Header,Admin role detection,Verify admin users see full interface,Admin user logged in,"1. Login as admin
2. Navigate to Cruise Control",Full interface with all action buttons visible,P1,Functional,Low
CC_NAV_007,CruiseControl Page,Header,Non-admin read-only banner,Verify non-admin users see read-only banner,Non-admin user logged in,"1. Login as regular user
2. Navigate to Cruise Control",Read-only banner displayed operations disabled,P1,Security,Medium
CC_NAV_008,CruiseControl Page,Responsive,Tab navigation on mobile,Verify tabs work on mobile viewport,Mobile viewport (<768px),"1. Resize to mobile
2. Check tab navigation",Tabs scrollable or dropdown menu appears,P2,UI,Low
CC_NAV_009,CruiseControl Page,Theme,Dark mode support,Verify page adapts to dark mode,Dark mode enabled,"1. Toggle dark mode
2. Check all elements",All elements adapt with proper contrast,P2,UI,Low
CC_NAVT_001,NAV Tab,Statistics,Display 5 statistics cards,Verify all 5 stat cards display,Schemes exist in system,"1. Navigate to NAV tab
2. Check statistics section",5 cards: Total Active Pending Failed No Data Metrics Pending,P1,Functional,Low
CC_NAVT_002,NAV Tab,Statistics,Total Active NAVs count,Verify total count is accurate,NAV bookmarks exist,"1. Check Total Active card
2. Compare with database",Count matches total active NAV bookmarks,P1,Functional,Low
CC_NAVT_003,NAV Tab,Statistics,Pending Downloads count,Verify pending count is accurate,Some NAVs pending download,"1. Check Pending Downloads card
2. Compare with actual pending",Count matches schemes awaiting daily download,P1,Functional,Low
CC_NAVT_004,NAV Tab,Statistics,Failed Downloads count,Verify failed count is accurate,Some downloads failed,"1. Check Failed Downloads card
2. Compare with failed status records",Count matches schemes with failed status,P1,Functional,Low
CC_NAVT_005,NAV Tab,Statistics,No NAV Data count,Verify no-data count is accurate,Some schemes without history,"1. Check No NAV Data card
2. Compare with schemes without data",Count matches schemes without historical data,P1,Functional,Low
CC_NAVT_006,NAV Tab,Statistics,Metrics Pending count,Verify metrics pending count,Some schemes without metrics,"1. Check Metrics Pending card
2. Compare with schemes needing calculations",Count matches schemes with data but no metrics,P1,Functional,Low
CC_NAVT_007,NAV Tab,Statistics,Stat card click filters list,Verify clicking stat card shows filtered list,On NAV tab,"1. Click 'Pending Downloads' card
2. Observe list below",List shows only pending schemes,P1,Functional,Low
